,A.muc,Firmicutes,Bacteroidetes,Lactobucillius,Bifido,Parab,16S
B6+AC0-3,31.932,16.884,14.077,32.152,30.007,40,12.886
B6+AC0-3,33.299,16.964,14.099,32.206,29.967,40,12.783
B6+AC0-3,32.015,16.873,14.1,31.981,29.905,39.299,12.86
B7+AC0-1,31.894,17.425,15.31,32.081,25.994,27.595,13.689
B7+AC0-1,32.535,17.592,15.314,31.444,26.136,27.571,13.76
B7+AC0-1,32.296,17.254,15.269,31.442,25.984,27.661,13.64
B7+AC0-2,31.397,15.997,13.848,27.53,20.183,22.766,12.269
B7+AC0-2,32.488,15.925,13.81,27.449,20.002,22.603,12.119
B7+AC0-2,32.097,15.553,13.752,27.393,19.921,23.329,12.266
B7+AC0-3,32.376,18.705,15.968,33.614,21.85,26.121,14.306
B7+AC0-3,34.045,18.436,15.83,34.404,21.632,26.115,14.251
B7+AC0-3,33.347,18.211,15.628,34.912,21.589,25.925,14.322
B8+AC0-1,32.131,16.918,14.363,38.396,27.305,38.198,13.043
B8+AC0-1,33.908,16.796,14.229,38.036,27.426,37.179,12.992
B8+AC0-1,32.859,16.568,14.152,37.278,26.927,34.737,12.993
B8+AC0-2,32.779,17.396,15.014,38.712,22.872,40,13.686
B8+AC0-2,33.749,17.376,15.061,,22.844,40,13.333
B8+AC0-2,33.939,17.225,14.696,38.978,22.585,,13.514
B8+AC0-3,31.594,17.908,15.498,34.114,20.973,,13.957
B8+AC0-3,32.87,17.808,15.367,,20.672,36.809,13.976
B8+AC0-3,32.815,17.569,15.188,34.365,20.752,35.234,13.923
B9+AC0-1,29.344,16.714,14.758,,25.97,20.987,13.38
B9+AC0-1,30.739,16.713,14.6,38.539,25.774,21.135,13.38
B9+AC0-1,30.992,16.64,14.519,39.05,25.576,21.038,13.407
B9+AC0-2,28.288,16.969,14.666,34.033,26.567,22.809,13.288
B9+AC0-2,29.571,16.936,14.939,32.989,26.698,22.855,13.249
B9+AC0-2,28.733,16.832,14.792,33.139,26.825,22.963,13.498
B9+AC0-3,28.236,15.871,14.243,,23.024,25.451,12.603
B9+AC0-3,29.134,15.538,14.117,38.081,22.951,25.416,12.537
B9+AC0-3,28.749,15.516,14.02,38.156,22.946,25.4,12.693
B10+AC0-1,31.231,17.023,15.18,36.025,22.822,40,12.933
B10+AC0-1,32.663,17.167,14.4,,22.551,40,13.008
