"","A.muc","Firmicutes","Bacteroidetes","Lactobucillius","Bifido","Parab"
"B23+AC0-2","   1.2695641837","   0.5271674991","   1.4496118627","   6.7755277974","   0.3337870758","             NA"
"B24+AC0-2","   0.6517241375","   1.6532825816","   1.0347866404","   0.7374753159","   7.7471553341","   1.8951779697"
"B24+AC0-2","   0.4579726451","   1.8886211520","   1.0312065506","   2.0274504649","   8.0817440768","   1.6903632806"
"B24+AC0-2","   1.4858961959","   2.0396665746","   0.9728797044","   2.2278724943","   9.4588622882","   0.7670185283"
"B25+AC0-2","   0.9746796309","   1.1572228109","   0.9029178677","             NA","   1.1479024139","   5.3889343075"
"B25+AC0-2","   0.6811290173","   1.0582398613","   0.8081341286","   0.4329182926","   1.0754943905","   6.9258925242"
"B25+AC0-2","   2.6207868077","   1.2005260150","   0.8979248842","   0.4918078496","   1.2201005103","   4.5346776511"
"B26+AC0-2","   2.5966771763","   0.7300160053","   0.8753913297","   0.0920992574"," 177.1711636546"," 193.7429495001"
"B26+AC0-2","   3.1528721439","   0.7652483849","   0.8717582395","   0.2293039852"," 171.3734728932"," 159.5649528672"
"B26+AC0-2","   3.7598280049","   0.7971924765","   0.8432311103","             NA"," 201.5508420017","             NA"
"B27+AC0-2","   0.8457676786","   0.6533826269","   1.1059861609","             NA","   5.3541838059","   0.9456205763"
"B27+AC0-2","   0.8023665310","   0.6298149900","   1.2399941663","   0.3321714535","   5.4289254265","   0.9857770735"
"B27+AC0-2","   1.9921597397","   0.6935154846","   1.1820846349","   0.2487899305","   6.7209569677","   0.7317046505"
"B28+AC0-2","   0.5493001788","   0.8804624201","   1.3666716473","   0.7691481061","  11.9091620413","   0.1965543230"
"B28+AC0-2","   0.4902762110","   0.9898853421","   1.4346180292","             NA","  11.3529868496","   0.2094967837"
"B28+AC0-2","   0.9839566535","   1.0638784526","   1.2813518348","   0.4341704169","  12.2185399837","   0.1321272551"
"B29+AC0-2","   0.2478146415","   0.9869165459","   1.2515072657","   0.0251261482","   0.0030527673","             NA"
"B29+AC0-2","   0.4368873787","   0.9903428719","   1.2351332278","   0.0276674469","   0.0030889524","             NA"
"B29+AC0-2","   0.3984120902","   1.0777331450","   1.1636576413","             NA","   0.0024505704","             NA"
"B30+AC0-2","   1.3397836024","   1.9079191011","   0.7274903418","             NA","  24.0450274262","   0.4668399725"
"B30+AC0-2","   1.1687772486","   1.6054747774","   0.5532486765","   0.6330976739","  15.2598266328","   0.2570284567"
"B30+AC0-2","   1.4034717260","   1.7617387483","   0.5974956024","   1.0566517695","  14.8940754576","   0.2491350657"
"C1+AC0-2","   0.2119310190","   0.6263322193","   1.1034337400","   0.1590074940","   0.1313359095","   1.6190714648"
"C1+AC0-2","   0.2931409995","   0.7179722553","   1.1900316963","             NA","   0.1273908297","   0.4293323138"
"C1+AC0-2","   0.4125573723","   0.7679051349","   1.2535330204","   0.4420148261","   0.1331692905","   1.1267493882"
"C2+AC0-2","   0.2014741521","   0.6467738852","   0.6500698579","             NA","   0.0707398351","   0.2136517936"
"C2+AC0-2","   0.2769440919","   0.8780246409","   0.8075741668","   0.0075481214","   0.0561203053","   0.1583658678"
"C2+AC0-2","   0.2929378801","   1.1625826901","   0.9354073479","   0.0084275753","   0.0861304194","   0.5257079048"
"C3+AC0-2","   0.0011640214","   0.7393520225","   0.2124212498","  91.7731358730","  59.9629725998","   0.0141048324"
"C3+AC0-2","   0.0010981823","   0.9742293373","   0.2737631177"," 122.7858072736","  55.3303828037","             NA"
"C3+AC0-2","   0.0012737813","   0.9995380086","   0.2919918487"," 137.7587359723","  48.2347171059","   0.0078143053"
"C4+AC0-2","   6.9131025805","   1.3292999392","   0.8451816403","             NA","   0.8014401360","   1.9525145961"
"C4+AC0-2","   7.8862165880","   1.5797175893","   0.9769342226","   0.1733788711","   0.6876120186","   2.0724443081"
"C4+AC0-2","   7.8643816364","   1.5666323631","   0.8780246409","   0.3991491932","   0.6776755690","   1.9283050971"
"C5+AC0-2"," 101.8051452199","   1.3410223978","   0.6866594464","   0.2447136814","   1.5021199269"," 204.2463754948"
"C5+AC0-2"," 122.1632608423","   1.6147751982","   0.7693258375","   0.1510571802","   0.9291606743"," 211.7424423547"
"C5+AC0-2"," 123.1836239682","   1.6624757923","   0.8571779636","             NA","   0.9467136312"," 196.8791694624"
"C6+AC0-2","   4.7998855295","   1.5432801751","   0.7278265914","   0.5384931881","   0.6695823170","             NA"
"C6+AC0-2","   4.6524801662","   1.7507826594","   0.9963100397","   0.3898524213","   0.5800838396","             NA"
